id,primary_code,secondary_code,third_code,combo_code,created_at,updated_at
437,E059,E0511,,E0511,,
438,C801,C802,,C802,,
439,I70209,I7025,,I7025,,
440,E119,E083219,,E083219,,
441,M3500,M350B,,M350B,,
442,F0150,F01B4,,F01B4,,
443,F0280,F02C3,,F02C3,,
444,F0280,F02A18,,F02A18,,
445,E119,H3500,,E11359,,
446,E099,H3500,,E093291,,
447,F1090,F29,,F10950,,
448,F10139,F19922,,F10132,,
449,E109,H3320,,E1039,,
450,E119,H3500,,E133519,,
451,K5150,L0291,,K51514,,
452,F0390,H3500,,F03918,,
453,E089,H3500,,E0859,,
454,E119,H3500,,E113511,,
455,E089,H3500,,E083541,,
456,F0150,F419,,F01C4,,
457,E099,H3500,,E093549,,
458,E099,H3500,,E093213,,
459,E119,H3500,,E113532,,
460,K5090,L988,,K50113,,
461,E089,H3500,,E083511,,
462,E099,H3500,,E093493,,
463,E109,H3500,,E103523,,
464,E109,H3521,,E103599,,
465,E119,H3500,,E113292,,
466,F0390,F919,,F03918,,
467,I70209,L97409,,I70234,,
468,E109,H3500,,E103292,,
469,E099,H3500,,E0937X9,,
470,F1122,G479,,F11282,,
471,E099,E8301,,E0921,,
472,I2575,I209,,I25759,,
473,E109,H3500,,E103519,,
474,E119,H3500,,E113521,,
475,F1099,F411,,F10980,,
476,E089,H3500,,E093512,,
477,E119,R4020,,E1301,,
478,E139,H3500,,E133312,,
479,I2575,I209,,I25760,,
480,I639,G81,,I69353,,
481,E089,G629,,E0940,,
482,E119,H3500,,E133491,,
483,E089,H3500,,E0937X2,,
484,E119,H3500,,E133411,,
485,F1110,F060,,F11151,,
486,M3500,I776,,M350B,,
487,E089,H3349,,E083529,,
488,E099,H3500,,E093599,,
489,E139,H3500,,E133559,,
490,F1122,F32A,,F1124,,
491,I25810,I208,,I25709,,
492,I2575,I208,,I25768,,
493,G729,M069,,m0540,,
494,E119,E8729,,E11641,,
495,E089,H3500,,E093411,,
496,F1110,F99,,F11151,,
497,E119,H3500,,E1139,,
498,E119,H3500,,E113541,,
499,E119,H269,,E0836,,
500,I25812,I208,,I25768,,
501,E119,H3500,,E133412,,
502,E089,H3500,,E093413,,
503,E089,H3500,,E093393,,
504,m3500,H16209,,M3501,,
505,i639,G8310,,I69149,,
506,k5130,K632,,K51313,,
507,E089,H3500,,E083513,,
508,I10,H3500,,I151,,
509,I2811,I202,,I25752,,
510,f02b0,f22,,F03B2,,
511,e109,H3500,,E103552,,
512,e109,H3500,,E0937X9,,
513,E119,H3500,,E083511,,
514,E099,H3500,,E093519,,
515,E099,H3500,,E088,,
516,E119,r069,,E113592,,
517,E119,r069,,E113512,,
518,E0590,E0500,,E0521,,
519,E089,H3500,,E08329,,
520,E089,H3500,,E083499,,
521,E089,H3500,,E083599,,
522,E099,H3500,,E093491,,
523,E099,H3500,,E093559,,
524,E109,n269,,E1021,,
525,E119,H3500,,E113291,,
526,E139,H3500,,E133411,,
527,F03B0,f22,,F03C2,,
528,I2510,i209,,I25750,,
529,I639,i652,,I63239,,
530,E089,H3500,,E083313,,
531,I2572,I202,,I25722,,
532,E119,M129,,E13618,,
533,F11229,R410,,F11921,,
534,Q874,I77819,,Q87410,,
535,E119,G7000,,E1144,,
536,M069,I319,,M0530,,
537,E089,H3500,,E083312,,
538,E099,H3500,,E093299,,
539,E099,H3500,,E093522,,
540,E139,H3500,,E133591,,
541,F0390,F0150,,F0150,,
542,F10139,R410,,F10131,,
543,F1010,R410,,F10931,,
544,I2570,I209,,I25709,,
545,I2576,I208,,I25768,,
546,I619,G819,,I69159,,
547,E089,e113551,,E083551,,
548,E089,e113531,,E083531,,
549,e109,e113293,,E103293,,
550,E099,e113532,,E093532,,
551,f0280,r451,,F02B11,,
552,E099,e113411,,E093411,,
553,I2510,E28,,I25738,,
554,E089,e113393,,E083393,,
555,E089,e113311,,E083413,,
556,i159,e119,,I152,,
557,E139,e1136,,E1336,,
558,E089,e113559,,E083559,,
559,E089,e133549,,E083549,,
